"Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Contact Telephone Number","Status Code"
"COMMUNITY OUTPATIENTS LTD","COMMUNITY OUTPATIENTS ENT","LEIGH VIEW PRACTICE","TINGLEY","WEST YORKSHIRE","","WF3 1RQ","0113 8879799","Closed"
"LCH NEIGHBOURHOOD TEAMS","BUILDING 3","WHITE ROSE OFFICE PARK","LEEDS","WEST YORKSHIRE","","LS11 0DL","0113 2208500","Active"
"DISTRICT NURSING SERVICE","SHAFTSBURY HOUSE","480 HAREHILLS LANE","LEEDS","","","LS9 6NG","0113 8434200","Closed"
"HEALTH VISITING SERVICE","MIDDLETON COMMUNITY H.CTR","MIDDLETON PARK AVENUE","LEEDS","","","LS10 4HT","0113 2077000","Closed"
"LCH CITY-WIDE SERVICES","BUILDING 3","WHITE ROSE OFFICE PARK","LEEDS","WEST YORKSHIRE","","LS11 0DL","0113 2208500","Active"
"COMMUNITY MATRON SERVICE","SHAFTSBURY HOUSE","480 HAREHILLS LANE","LEEDS","","","LS9 6NG","0113 8434200","Closed"
"DISTRICT NURSING SERVICE","SHAFTSBURY HOUSE","480 HAREHILLS LANE","LEEDS","","","LS9 6NG","0113 8434200","Closed"
"HEALTH VISITING SERVICE","MIDDLETON COMMUNITY H.CTR","MIDDLETON PARK AVENUE","LEEDS","","","LS10 4HT","0113 2077000","Closed"
"COMMUNITY MATRON SERVICE","SHAFTSBURY HOUSE","480 HAREHILLS LANE","LEEDS","","","LS9 6NG","0113 8434200","Closed"
"DISTRICT NURSING SERVICE","SHAFTSBURY HOUSE","480 HAREHILLS LANE","LEEDS","","","LS9 6NG","0113 8434200","Closed"
"HEALTH VISITING SERVICE","MIDDLETON COMMUNITY H.CTR","MIDDLETON PARK AVENUE","LEEDS","","","LS10 4HT","0113 2077000","Closed"
"DR WHARFEDALE MIU/OOH","WHARFEDALE HOSPITAL","NEWELL CARR ROAD","OTLEY","","","LS21 2LY","01484 487272","Active"
"DR ST GEORGES MIU/OOH","ST GEORGES CENTRE","ST GEORGES RD,MIDDLETON","LEEDS","","","LS10 4UZ","01484 487272","Active"
"LIFELINE COMMUNITY DETOX SERVICE","MERCHANTS HOUSE","1-7 LEEDS ROAD","SHIPLEY","WEST YORKSHIRE","","BD18 1BP","01274 809898","Closed"
"COMMUNITY RESPIRATORY SERVICE","CHAPELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","","","LS7 4BB","0113 2951000","Active"
"COMMUNITY CHILDREN'S NURSING SERVICE","HUNSLET HEALTH CENTRE","CHURCH STREET","LEEDS","WEST YORKSHIRE","","LS10 2PT","0113 2771811","Active"
"COMMUNITY PARKINSON'S SERVICE","ST MARY'S HOSPITAL","GREENHILL ROAD","LEEDS","WEST YORKSHIRE","","LS12 3QE","0113 3055082","Closed"
"LCH POLICE CUSTODY SUITES SERVICES","WETHERBY HEALTH CENTRE","HALLFIELD LANE","WETHERBY","WEST YORKSHIRE","","LS22 6JS","01937 522879","Active"
"ONE MEDICARE DERMATOLOGY SERVICE","THE LIGHT SURGERY","BALCONY LEVEL,THE HEADROW","LEEDS","WEST YORKSHIRE","","LS1 8TL","0113 2427425","Active"
"COMMUNITY RENAL SERVICE","RENAL DEPARTMENT","LTHT BECKETT ST","LEEDS","WEST YORKSHIRE","","LS9 7TF","0113 2064882","Closed"
"COMMUNITY REHABILITATION UNIT","ST MARY'S HOSPITAL","GREENHILL ROAD","LEEDS","WEST YORKSHIRE","","LS12 3QE","0113 3055082","Active"
"ANTICOAGULANT CLINIC @ OAKWOOD LANE MP","OAKWOOD LANE MP","2 AMBERTON TERRACE","LEEDS","WEST YORKSHIRE","","LS8 3BZ","0113 2953750","Closed"
"FORWARD LEEDS","74 KIRKGATE","LEEDS","WEST YORKSHIRE","","","LS2 7DJ","0113 8872477","Active"
"BRAMHOPE DERMATOLOGY COMMUNITY CLINIC","BRAMHOPE HEALTH CENTRE","TREGOLD CRESCENT,BRAMHOPE","LEEDS","WEST YORKSHIRE","","LS16 9BR","0113 2303200","Active"
"LIVINGCARE HEALTH SERVICES ENT","THORPE PARK CLINIC","4600 PARK APPROACH","LEEDS","","","LS15 8GB","0113 4264539","Active"
"MEDISCAN OPHTHALMOLOGY SERVICES","SPECSAVERS UNIT 2","1 SHIRE OAK STREET","LEEDS","","","LS6 2AF","0113 2745835","Active"
"AMP HEALTHCARE OPHTHALMOLOGY","RUTLAND LODGE MP","SCOTT HALL ROAD","LEEDS","","","LS7 3DR","01302 700378","Active"
"SOUTH LEEDS INDEPENDENCE CENTRE","ATHA CRESCENT","BEESTON","LEEDS","","","LS11 7DB","0113 8435777","Closed"
"SHAKESPEARE WIC","179 CROMWELL MOUNT","","LEEDS","WEST YORKSHIRE","","LS9 7TA","0113 2951132","Active"
"COMMUNITY IV SERVICE","CHAPELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","WEST YORKSHIRE","","LS7 4BB","0113 2951000","Active"
"DMC COMMUNITY DERMATOLOGY SERVICE","LEIGH VIEW MED PRACTICE","BRADFORD ROAD","LEEDS","W YORKS","","WF3 1RQ","0207 6351057","Active"
"LEEDS COMMUNITY DIABETES SERVICE","CHAPELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","","","LS7 4BB","0113 2951000","Active"
"LGI GPS IN A+E","LEEDS GENERAL INFIRMARY","GREAT GEORGE STREET","LEEDS","","","LS1 3EX","0113 3923534","Active"
"SJUH GPS IN A+E","ST JAMES UNIVERSITY HOSP","BECKETT STREET","LEEDS","","","LS9 7TF","0113 2066565","Active"
"ST GEORGE'S URGENT TREATMENT CENTRE","2 ST GEORGE'S CENTRE","ST GEORGE'S ROAD","LEEDS","WEST YORKSHIRE","","LS10 4UZ","0330 3115106","Active"
"AIREBOROUGH COMMUNITY CARE","AIREBOROUGH FP","SUFFOLK COURT, YEADON","LEEDS","","","LS19 7JN","0113 3911950","Active"
"LEEDS COMMUNITY TB SERVICE","BEESTON HILL HC","123 CEMETERY ROAD","LEEDS","","","LS11 8LH","0113 8434344","Active"
"ADEL BECK SCH","EAST MOOR LANE","ADEL","LEEDS","WEST YORKSHIRE","","LS16 8EB","0333 0000405","Active"
"LEEDS NEWMEDICA OPTHALMOLOGY","ST MARTINS HOUSE","210 CHAPELTOWN ROAD","LEEDS","","","LS7 4HZ","0113 2621613","Active"
"LEEDS EATING DISORDER SERVICE","REGINALD CENTRE","263 REGINALD ROAD","LEEDS","","","LS7 3EX","0113 8434317","Active"
"SCHOOL NURSING SERVICE","PARKSIDE HEALTH CENTRE","311 DEWSBURY ROAD","LEEDS","","","LS11 5LQ","0113 8430853","Closed"
"KIRKSTALL LANE COMMUNITY CARE","KIRKSTALL LANE MC","216 KIRKSTALL LANE","LEEDS","WEST YORKSHIRE","","LS6 3DS","0113 2953666","Active"
"COLTON COMMUNITY CARE","COLTON MILL MC","STILE MILL WAY","LEEDS","WEST YORKSHIRE","","LS15 9JH","0113 2951802","Active"
"NORTH LEEDS MP COMMUNITY CARE","NORTH LEEDS MEDICAL PRACT","335 HARROGATE ROAD","LEEDS","WEST YORKSHIRE","","LS17 6PZ","0113 2680066","Active"
"HEALTH HARMONIE DERMATOLOGY LEEDS","C/O IRELAND WOOD SURGERY","IVESON APPROACH","LEEDS","WEST YORKSHIRE","","LS16 6FR","0113 2303470","Closed"
"OULTON COMMUNITY CARE","OULTON MEDICAL CENTRE","QUARRY HILL, OULTON","LEEDS","WEST YORKSHIRE","","LS26 8SZ","0113 2822138","Active"
"WEST YORKSHIRE CHILD SAS","HAZELHURST CENTRE","665 LEEDS ROAD","DEWSBURY","WEST YORKSHIRE","","WF12 7HP","0330 2233617","Active"
"BRAMLEY COMMUNITY CARE BEDS","BRAMLEY VILLAGE HEALTH","16 HIGHFIELD ROAD","BRAMLEY, LEEDS","","","LS13 2BL","0113 2563250","Active"
"NHS LEEDS CCG HUB","WIRA HOUSE SUITES 2-4","WEST PARK RING ROAD","LEEDS","","","LS16 6EB","0113 8435470","Active"
"LIVING CARE GASTROENTEROLOGY SERVICE","THORPE PARK CLINIC","4215 PARK APPROACH","LEEDS","WEST YORKSHIRE","","LS15 8GB","0113 4264515","Active"
"PES AT APPLESON OPTOMETRISTS LEEDS","43 MARKET PLACE","","WETHERBY","WEST YORKSHIRE","","LS22 6LN","01937 583278","Active"
"PES AT TUNNACLIFFE & LAMBERT LEEDS","64 TOWN STREET","FARSLEY","PUDSEY","","","LS28 5LF","01132 577750","Active"
"PES AT SPECSAVERS CROSSGATES LEEDS","UNIT 8A","CROSSGATES SHOPPING CENTR","LEEDS","","","LS15 8ET","0113 2328088","Active"
"TIER 3 WEIGHT MANAGEMENT SERVICE","CHAPTELTOWN HEALTH CENTRE","SPENCER PLACE","LEEDS","WEST YORKSHIRE","","LS7 4BB","0113 2951000","Active"
"WHARFEDALE RECOVERY HUB","EAST PARK MEDICAL CENTRE","5-7 EAST PARK ROAD","LEEDS","WEST YORKSHIRE","","LS9 9JD","0113 8878134","Active"
"LS25/LS26 PCN HUB (LIVI)","GARFORTH MEDICAL CENTRE","CHURCH LANE","LEEDS","WEST YORKSHIRE","","LS25 1HB","0113 2877321","Closed"
"LEEDS COMMUNITY PODIATRY SERVICE","BUILDING 3","WHITE ROSE OFFICE PARK","LEEDS","WEST YORKSHIRE","","LS11 0DL","0113 2208500","Active"
"WGH COMMUNITY CARE BEDS","WHARFEDALE HOSPITAL","NEWALL CARR ROAD","OTLEY","","","LS21 2LY","0113 3921525","Dormant"
"LEEDS COMMUNITY DERMATOLOGY SERVICE","STOCKDALE HOUSE","VICTORIA ROAD","LEEDS","WEST YOKSHIRE","","LS6 1PF","0113 2217393","Active"
"IRELAND WOOD EYE CLINIC","IRELAND WOOD SURGERY","IVESON APPROACH","LEEDS","WEST YORKSHIRE","","LS16 6FR","0113 2699320","Active"
"LEEDS HOMELESS & HEALTH INCLUSION TEAM","BURMANTOFTS HEALTH CENTRE","CROMWELL MOUNT","LEEDS","WEST YORKSHIRE","","LS9 7TA","07903 746122","Active"
"ALWOODLEY - PHARMACY PLUS HEALTH","ALWOODLEY MEDICAL CENTRE","SAXON MOUNT","LEEDS","WEST YORKSHIRE","","LS17 5DT","01132 685602","Active"
"MIDWAY PHARMACY","23 MIDDLETON PARK CIRCUS","MIDDLETON","LEEDS","WEST YORKSHIRE","","LS10 4LX","01132 714699","Active"
"THE CARE PHARMACY","14, UNITY BUS CTR","26 ROUNDHAY ROAD","LEEDS","WEST YORKSHIRE","","LS7 1AB","01135 135757","Dormant"
"HOLT PARK PCN (LEEDS) HUB","CARDIGAN COMMUNITY CENTRE","145-149 CARDIGAN RD","LEEDS","","","LS6 1LJ","0113 2214675","Active"
"HOLISTIC ADHD (ADHDNET)","8 TINSHILL LANE","COOKRIDGE","LEEDS","WEST YORKSHIRE","","LS16 7AP","07447 927701","Active"
