"name","address","phone"
"The Greenway Medical Practice","The Green Way Practice, Cleckheaton Health Centre, Greenside, Cleckheaton, West Yorkshire, BD19 5AP","01274 399505"
"The Health Centre, Knaresborough Road","80 Knaresborough Road, Harrogate, North Yorkshire, HG2 7LU","01423 788300"
"The Heaton Medical Practice","Haworth Road, Bradford, BD9 6LL",NA
"The Leeds Road Practice","Castle Street, Spofforth, Harrogate, North Yorkshire, HG3 1AP","01423 566636"
"The Lister Surgery","50 Heaton Road, Bradford, West Yorkshire, BD8 8RA","01274 888095"
"The Medical Centre","143 Rookwood Avenue, Leeds, West Yorkshire, LS9 0NL","0113 249 3011"
"The New Croft Surgery","Broadgate Lane, Horsforth, Leeds, West Yorkshire, LS18 4SE","0113 239 5550"
"The North Leeds Medical Practice","355 Harrogate Road, Leeds, West Yorkshire, LS17 6PZ","0113 268 0066"
"The Old School Medical Practice","Horseman Lane, Copmanthorpe, York, YO23 3UA","01904 706455"
"The Paddock Surgery","Chapel Lane, Thornhill, Dewsbury, West Yorkshire, WF12 0DH","01924 465343"
"The Ridge Medical Pract.","Cousen Road, Great Horton, Bradford, West Yorkshire, BD7 3JX","01274 425600"
"The Ridge Medical Practice 2","93 Smith Avenue, Wibsey, Bradford, West Yorkshire, BD6 1HA","01274 425600"
"The Rockwell And Wrose Practice","Kings Road, Bradford, West Yorkshire, BD2 1QG","01274 638353"
"The Roundhay Road Surgery","171-173 Roundhay Road, Leeds, West Yorkshire, LS8 5AN","0113 235 0379"
"The Saltaire & Windhill Medical P'ship","Windhill Green Medic Prac, 2 Thackley Old Road, Shipley, BD18 1QB","01274 584223"
"The Saltaire & Windhill Partnership - Cliffe Avenue","Cliffe Avenue, Baildon, Shipley, West Yorkshire, BD17 6NX","01274 584561"
"The Saltaire & Windhill Partnership - Cottingley","10 Canon Pinnington Mews, Bingley, BD16 1AQ","01274 599263"
"The Saltaire & Windhill Partnership - Saltaire","Richmond Road, Shipley, BD18 4RX","01274 599263"
"The Spa Surgery","Mowbray Square Medical Centre, Myrtle Square, Harrogate, HG1 5AR","01423 503218"
"The Springfield Surgery (Bingley)","Canalside Health Care Centre, 2 Kingsway, Bingley, West Yorkshire, BD16 4RP","01274 567991"
"The Street Lane Practice","12 Devonshire Avenue, Roundhay, Leeds, West Yorkshire, LS8 1AY","0113 237 1128"
"The Wilsden Medical Practice","2 Lingbob Court, Wilsden, Bradford, West Yorkshire, BD15 0NJ","01535 273227"
"Thornbury Medical Practice","Morrisons Store, Rushton Avenue, Bradford, BD3 7HZ","01274 662441"
"Thorner Surgery","Main Street, Thorner, Leeds, West Yorkshire, LS14 3DX","0113 887 3322"
"Thornhill Lees Medical Centre","140 Slaithwaite Road, Thornhill Lees, Dewsbury, West Yorkshire, WF12 9DW","01924461369 (ext. 465725)"
"Thornton Medical Centre","Leeds Community & Mental Health Ser, 15 Green Lane, Leeds, West Yorkshire, LS12 1JE","0113 231 0626"
"Tieve Tara","Tieve Tara Medical Centre, Parkdale, Airedale, Castleford, West Yorkshire, WF10 2QP","01977 668455"
"Tockwith Surgery","21 Marston Road, Tockwith, York, North Yorkshire, YO26 7PR","01423 330030"
"Tong Medical Practice","2 Proctor Street, Bradford, West Yorkshire, BD4 9QA","01274 683331"
"Trinity Medical Centre","Thornhill Street, Wakefield, West Yorkshire, WF1 1PG","01924 784101"
"Undercliffe Surgery","16 Union Street, Heckmondwike, West Yorkshire, WF16 0HH","01924 403406"
"Unity Health - Wenlock Terrace","18 Wenlock Terrace, York, YO10 4DU","01904 754900"
"Valley View Surgery","17 Lowther Street, Bradford, West Yorkshire, BD2 4RA","01274 299143"
"Vesper Road","43 Vesper Road, Leeds, West Yorkshire, LS5 3QT","0113 275 1248"
"Warrengate Medical Centre","78 Upper Warrengate, Wakefield, West Yorkshire, WF1 4PR","01924 371011"
"Welbeck Street Health Centre","Welbeck Street, Castleford, West Yorkshire, WF10 1HB","01977 664141"
"Wellington House","Wellington House Surgery, Henrietta Street, Batley, West Yorkshire, WF17 5DN","01924 669960"
"West Lodge Surgery","New Street, Farsley, Pudsey, LS28 5DL","0113 257 0295"
"Westcliffe Medical Centre","157 Westcliffe Road, Shipley, BD18 3EE",NA
"Westfield Medical Centre","The Reginald Centre, 263 Chapeltown Road, Leeds, LS7 3EX","0113 295 3460"
"Westgate Surgery","Westgate, Otley, West Yorkshire, LS21 3HD","01943 660533"
"Wetherby & Bramham Surgery","Wetherby Health Centre, Hallfield Lane, Wetherby, LS22 6JS","01937 585669"
"Whetley Medical Centre","2 Saplin Street, Bradford, BD8 9DW",NA
"Whitehall Surgery","Wortley Beck Health Ctr, Ring Rd, Lower Wortley, Leeds, West Yorkshire, LS12 5SG","0113 467 7533"
"Wibsey & Queensbury Med P","Fair Road, Bradford, West Yorkshire, BD6 1TD","01274 677198"
"Windmill Health Centre","83a Whinmoor Way, Leeds, LS14 5BD","0113 273 3733"
"Windsor House Group Practice","2 Corporation Street, Morley, Leeds, LS27 9NB","0333 242 7777"
"Windsor Medical Centre","2 William Street, Leeds Road, Dewsbury, West Yorkshire, WF12 7BD","01924 465699"
"Woodhouse Medical Practice","Cambridge Road, Leeds, West Yorkshire, LS6 2SF","0113 221 3510"
"Wrose Health Centre","Kings Road, Bradford, West Yorkshire, BD2 1QG","01274 770772"
"York House Surgery","284a Oxford Road, Cleckheaton, Gomersal, West Yorkshire, BD19 4PY","01274 852985"
"York Medical Group","199 Acomb Road, York, YO24 4HD","01904 439100"
"York Medical Group, 32 Clifton","32 Clifton,, York,, North Yorkshire, YO30 6AE","01904 439100"
"York Medical Group, Skelton","The Surgery, Sy Giles Road, Skelton, York, North Yorkshire, YO30 1XX","01904 439100"
"York Medical Group, Tower Court","Oakdale Road, Clifton Moor, York, North Yorkshire, YO30 4RZ","01904 439100"
"York Medical Group, Water Lane","Water Lane, York, North Yorkshire, YO30 6PS","01904 439100"
"York Medical Group, Woodthorpe","40 Moorcroft Road, Woodthorpe, York, North Yorkshire, YO24 2RQ","01904 439100"
"York Street Health Practice","68 York Street, Leeds, West Yorkshire, LS9 8AA","0113 295 4840"
